,Address,Txns_x,First Transacted_x,Last Transacted_x,Ⱥ In_x,Ⱥ Out_x,Ⱥ Net_x,Txns_y,First Transacted_y,Last Transacted_y,Ⱥ In_y,Ⱥ Out_y,Ⱥ Net_y,exists
417,MSPLSKP3JNMIP3TVRFCVX34DIJ5BLQKPHLWWSDR5FWN7OT7UY52LKVOBQA,1,"12/28/2022, 6:54:15 AM","12/28/2022, 6:54:15 AM",0.0,2234.0882,-2234.0882,1.0,"12/5/2022, 1:57:48 AM","12/5/2022, 1:57:48 AM",0.0,0.201,-0.201,both
418,MAJKQV23JIGHTPM7EOV3WSJVUGKJNX6LONZDMHXQCHD5F6NUZRN2VYN3PE,1,"12/27/2022, 6:41:11 AM","12/27/2022, 6:41:11 AM",0.0,3461.6937,-3461.6937,1.0,"12/5/2022, 1:57:21 AM","12/5/2022, 1:57:21 AM",0.0,0.201,-0.201,both
421,C3NUFKZQCSC5KQAPUQWOJ7ZGMXH5OYG4I5JGHXA7JUJPJSF5L23TZ2BLVM,62,"11/18/2021, 4:52:23 AM","12/23/2022, 12:01:16 AM",0.0,2352544.266815,-2352544.266815,1.0,"10/24/2022, 10:01:45 AM","10/24/2022, 10:01:45 AM",0.0,0.002,-0.002,both
423,IUVJ4NUQKTIT55TYT46SWPKOWEUY4YGWQXMERTKVK6EMCRL3Q2UJPBLFCU,1,"12/21/2022, 7:38:14 AM","12/21/2022, 7:38:14 AM",0.0,3109.9,-3109.9,1.0,"12/14/2022, 10:32:35 AM","12/14/2022, 10:32:35 AM",0.0,0.201,-0.201,both
426,7Z3GDYE3JNGXLXKAUHIYVLTLPBFDHZR4UTUXVUXJ4P7TOE2EW35BQIVOXM,3,"12/7/2022, 12:11:09 AM","12/19/2022, 11:14:10 PM",0.0,21936.5572,-21936.5572,1.0,"12/5/2022, 1:46:57 AM","12/5/2022, 1:46:57 AM",0.0,0.201,-0.201,both
427,GGM5ZBEQ2VNCVTNBQSFALG4CRA6CBHJPH7JCH4UFN25USM5BAF2HWH4EWQ,1,"12/19/2022, 9:15:09 PM","12/19/2022, 9:15:09 PM",0.0,29954.015397,-29954.015397,1.0,"12/14/2022, 10:27:05 AM","12/14/2022, 10:27:05 AM",0.0,0.201,-0.201,both
429,2HFJEX6U2X2ALOUPHAHYKEF5GVYGALFHORRIMU5LO2AUVWFW5PKS62ROM4,1,"12/19/2022, 2:54:15 PM","12/19/2022, 2:54:15 PM",0.0,860.3448,-860.3448,1.0,"10/21/2022, 11:39:36 AM","10/21/2022, 11:39:36 AM",0.0,0.002,-0.002,both
430,D5WEJZA47TPGX2WZJNROP4FXOUUAT6U4YGVRJPQHDDQD77F55JDQNSXB34,2,"12/18/2022, 12:09:07 AM","12/19/2022, 12:13:11 AM",0.0,3899.9,-3899.9,1.0,"12/14/2022, 10:31:42 AM","12/14/2022, 10:31:42 AM",0.0,0.201,-0.201,both
434,7CCNHC5HS5OT4PN2FIUPNGUNBHJ2ND4UMHYXW7EBEFU7G6QPJGLLDFDBMU,1,"12/16/2022, 7:44:13 AM","12/16/2022, 7:44:13 AM",0.0,2539.427544,-2539.427544,1.0,"10/23/2022, 7:21:27 AM","10/23/2022, 7:21:27 AM",0.0,0.002,-0.002,both
438,YORUDFKZZ6N4JAWP62CS6NUPF6QGHSQ5J5P7ORRA3OE4CV4T3TNMBORYDI,11,"12/26/2021, 11:20:11 PM","12/15/2022, 3:55:15 AM",0.0,20571.867049,-20571.867049,1.0,"10/24/2022, 10:09:03 PM","10/24/2022, 10:09:03 PM",0.0,0.002,-0.002,both
